"Symbol","Name","Sector","Industry","Summary Quote"
"EPZM","Epizyme, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/epzm"
"PLUS","ePlus inc.","Technology","Retail: Computer Software & Peripheral Equipment","http://www.nasdaq.com/symbol/plus"
"EQIX","Equinix, Inc.","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/eqix"
"EQFN","Equitable Financial Corp.","Finance","Savings Institutions","http://www.nasdaq.com/symbol/eqfn"
"EQBK","Equity Bancshares, Inc.","Finance","Major Banks","http://www.nasdaq.com/symbol/eqbk"
"ERIC","Ericsson","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/eric"
"ERIE","Erie Indemnity Company","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/erie"
"ESCA","Escalade, Incorporated","Consumer Non-Durables","Recreational Products/Toys","http://www.nasdaq.com/symbol/esca"
"ESPR","Esperion Therapeutics, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/espr"
"ESQ","Esquire Financial Holdings, Inc.","Finance","Commercial Banks","http://www.nasdaq.com/symbol/esq"
"ESSA","ESSA Bancorp, Inc.","Finance","Banks","http://www.nasdaq.com/symbol/essa"
"EPIX","ESSA Pharma Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/epix"
"ESND","Essendant Inc.","Consumer Services","Paper","http://www.nasdaq.com/symbol/esnd"
"ETSY","Etsy, Inc.","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/etsy"
"CLWT","Euro Tech Holdings Company Limited","Consumer Durables","Diversified Electronic Products","http://www.nasdaq.com/symbol/clwt"
"EEFT","Euronet Worldwide, Inc.","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/eeft"
"ESEA","Euroseas Ltd.","Transportation","Marine Transportation","http://www.nasdaq.com/symbol/esea"
"EVEP","EV Energy Partners, L.P.","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/evep"
"EVBG","Everbridge, Inc.","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/evbg"
"EVK","Ever-Glory International Group, Inc.","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/evk"
"MRAM","Everspin Technologies, Inc.","Technology","Semiconductors","http://www.nasdaq.com/symbol/mram"
"EVLV","EVINE Live Inc.","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/evlv"
"EVGN","Evogene Ltd.","Basic Industries","Agricultural Chemicals","http://www.nasdaq.com/symbol/evgn"
